epoch	time	lr	loss	top_level_accuracy	fscore_macro	val_loss	val_top_level_accuracy	val_fscore_macro
1	1.7757673720007006	0.001	0.1161508427099338	0.8235294117647058	0.4798988401889801	0.056908846236346816	0.8888888888888888	0.4705882668495178
2	1.7791679359979753	0.001	0.06237408795104121	0.8235294117647058	0.4516128897666931	0.05686034211951695	0.8888888888888888	0.4705882668495178
3	1.3965267010025855	0.001	0.06740696991854607	0.8235294117647058	0.4516128897666931	0.05379807201217623	0.8888888888888888	0.4705882668495178
4	1.6190224550009589	0.001	0.06063232017555886	0.8235294117647058	0.4516128897666931	0.053165463807431056	0.8888888888888888	0.4705882668495178
5	1.5459269120001409	0.001	0.054395612642916175	0.8235294117647058	0.4516128897666931	0.06274108717057589	0.8888888888888888	0.4705882668495178
6	1.8578357590013184	0.001	0.06042836170886751	0.8235294117647058	0.4516128897666931	0.0462820687320795	0.8888888888888888	0.4705882668495178
7	2.2625902830004634	0.001	0.04373719724372748	0.8609625668449198	0.689289391040802	0.05156100454848357	0.8888888888888888	0.4705882668495178
8	2.1740446270014218	0.001	0.023706874000428417	0.9090909090909091	0.8240633010864258	0.04510251736819521	0.9111111111111111	0.6428571343421936
9	2.052973590001784	0.001	0.017379403198904436	0.9197860962566845	0.8447617292404175	0.02958142701606179	0.8888888888888888	0.6913580298423767
10	2.4369341380006517	0.001	0.007721922340095325	0.93048128342246	0.8759250640869141	0.04160214977317982	0.9333333333333333	0.7676420211791992
11	1.994906236002862	0.001	0.012129292216296453	0.9037433155080213	0.7989727258682251	0.03348032845539993	0.9333333333333333	0.7676420211791992
12	2.2061306959985814	0.001	0.004102409421664539	0.9679144385026738	0.9448052048683167	0.02592398655995001	0.8888888888888888	0.741081714630127
13	1.8887928410003951	0.001	3.821373888086122e-05	0.9946524064171123	0.9906895756721497	0.02663148163856192	0.8444444444444444	0.6853146553039551
14	2.520896628000628	0.001	4.965224802888782e-05	0.9893048128342246	0.9816017150878906	0.03028283706318573	0.9333333333333333	0.8148148059844971
15	2.228741587998229	0.001	0.0003690909076210679	0.983957219251337	0.971367359161377	0.028112403127584566	0.8888888888888888	0.741081714630127
16	1.7809255629981635	0.001	0.0010077084926579962	0.9893048128342246	0.9816017150878906	0.02844622161950958	0.8444444444444444	0.6853146553039551
17	1.6537481880004634	0.001	6.128817994073527e-06	0.9893048128342246	0.9816017150878906	0.029692320787951296	0.9111111111111111	0.7749999761581421
18	1.9553695350005	0.001	0.00019759802516045835	0.9946524064171123	0.9906895756721497	0.03159795171312625	0.8888888888888888	0.741081714630127
19	1.294323294001515	0.001	0.0	1.0	1.0	0.032248582844430586	0.8888888888888888	0.741081714630127
20	1.6405636160016002	0.001	0.0	1.0	1.0	0.03225247243816933	0.8888888888888888	0.741081714630127
21	1.8368119680017116	0.001	0.0	1.0	1.0	0.032252479246939615	0.8888888888888888	0.741081714630127
22	1.8215762809995795	0.001	0.0	1.0	1.0	0.032252479246939615	0.8888888888888888	0.741081714630127
23	1.9602549420014839	0.001	0.0	1.0	1.0	0.032252479246939615	0.8888888888888888	0.741081714630127
24	2.0221986079995986	0.001	0.0	1.0	1.0	0.032252479246939615	0.8888888888888888	0.741081714630127
25	2.056036412999674	0.001	0.0	1.0	1.0	0.032252479246939615	0.8888888888888888	0.741081714630127
26	1.9824112220012466	0.001	0.00012894438592013933	1.0	1.0	0.02761581160602498	0.9333333333333333	0.8148148059844971
27	2.470538302000932	0.001	0.0	1.0	1.0	0.028776687740833126	0.9555555555555556	0.8628048896789551
28	2.171256966998044	0.001	0.003826066160833599	0.9786096256684492	0.964849591255188	0.030686305033580195	0.8666666666666667	0.7115384340286255
29	2.0899456609986373	0.001	0.0035306453253710845	0.9679144385026738	0.9434475898742676	0.037357304538233896	0.9111111111111111	0.7256097793579102
30	2.0254140090000874	0.001	0.0016034719734227985	0.9679144385026738	0.9460784196853638	0.03995823558796657	0.8222222222222222	0.6616541147232056
31	2.1812074139998003	0.001	0.00053711279225778	0.9893048128342246	0.9816017150878906	0.025396616829468515	0.8666666666666667	0.7115384340286255
32	2.3439729980018456	0.001	0.0015907801314131089	0.983957219251337	0.9720686674118042	0.046954677234428206	0.9111111111111111	0.6428571343421936
33	2.4104285479988903	0.001	0.0013735228365281899	0.983957219251337	0.9727259874343872	0.03174198153760103	0.8888888888888888	0.741081714630127
34	2.022611226002482	0.001	0.0	1.0	1.0	0.03362476937333296	0.8666666666666667	0.6625000238418579
35	1.883529038001143	0.001	0.0	1.0	1.0	0.03363879756088114	0.8666666666666667	0.6625000238418579
36	2.1534507670003222	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
37	2.3262826489990402	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
38	2.311470291999285	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
39	2.5326178499999514	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
40	2.461328007000702	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
41	2.212904742998944	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
42	2.0652737370000978	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
43	1.9776190900010988	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
44	2.3157687589991838	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
45	2.81558017000134	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
46	2.710338644999865	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
47	2.5868029730008857	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
48	1.7975573690018791	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
49	2.235130783999921	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
50	2.466531615002168	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
51	2.341557907002425	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
52	2.048921113997494	0.001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
53	2.8636016640011803	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
54	1.9569741399973282	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
55	1.8289981569978409	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
56	1.8588922170019941	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
57	1.8904721840008278	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
58	1.7868843140022364	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
59	1.9135678209968319	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
60	2.132321389999561	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
61	2.0551649410008395	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
62	2.1813410489994567	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
63	2.2256269569988945	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
64	2.1301618140023493	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
65	2.120700161001878	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
66	2.119100955002068	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
67	1.8053791229976923	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
68	1.8029644560010638	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
69	2.2010326070012525	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
70	2.123481554997852	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
71	2.2900922570006514	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
72	1.7184077559977595	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
73	1.485474807999708	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
74	1.5799405830002797	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
75	1.732870323001407	0.0001	0.0	1.0	1.0	0.033638811959756	0.8666666666666667	0.6625000238418579
