epoch	time	lr	loss	fscore_macro	val_loss	val_fscore_macro
1	7.310262892977335	0.001	0.40399658246980535	0.9314796924591064	0.32623065476441504	0.9895201921463013
2	9.57155013497686	0.001	0.31817383921966136	0.9949153661727905	0.3217191032428837	0.9895201921463013
3	11.374311152030714	0.001	0.3157294599288599	0.9961792230606079	0.3210360700311373	0.9895201921463013
4	12.491215878981166	0.001	0.31533117441266983	0.9961792230606079	0.32035021657620244	0.9895201921463013
5	12.460086220991798	0.001	0.31512471345624055	0.9961792230606079	0.3202402450631012	0.9895201921463013
6	13.904674510995392	0.001	0.31557217246111174	0.9948959350585938	0.32010536768927644	0.9895201921463013
7	12.320562920998782	0.001	0.31677429879835955	0.992372989654541	0.3217950392308547	0.9841580986976624
8	13.233973706024699	0.001	0.31549307846033336	0.9948959350585938	0.32043867946869165	0.9895201921463013
9	11.421500313968863	0.001	0.31550630575670646	0.9948959350585938	0.32061767094398863	0.9895201921463013
10	11.066866387031041	0.001	0.3159480766099159	0.9936076402664185	0.3200215462464184	0.9895201921463013
11	12.93416421499569	0.001	0.31498684843625946	0.9961792230606079	0.3199527016536674	0.9895201921463013
12	10.819735702010803	0.001	0.3152564846778734	0.9949153661727905	0.3211382633028318	0.9841580986976624
13	12.099945139023475	0.001	0.31497259064701677	0.9961792230606079	0.3208242101735206	0.9841580986976624
14	15.069395381957293	0.001	0.31495686417322555	0.9961792230606079	0.32081943140856584	0.9841580986976624
15	12.575854586961213	0.001	0.31495527325123496	0.9961792230606079	0.32079843553765935	0.9841580986976624
16	14.593841186026111	0.001	0.315836743419262	0.9936320185661316	0.32079870543587746	0.9841580986976624
17	13.360267810989171	0.001	0.3149510305410971	0.9961792230606079	0.3207727874343719	0.9895201921463013
18	14.617433432023972	0.001	0.3156296646449541	0.9949153661727905	0.3220182568733417	0.9841580986976624
19	18.02160943998024	0.001	0.31495329075616013	0.9961792230606079	0.3219600290659085	0.9841580986976624
20	15.554846921993885	0.001	0.31495151188140014	0.9961792230606079	0.32111259180696766	0.9841580986976624
21	13.883644791028928	0.001	0.31533194481748744	0.9949153661727905	0.31996160273875424	0.9895201921463013
22	14.686385383014567	0.001	0.31494657525533365	0.9961792230606079	0.31996149324891554	0.9895201921463013
23	17.7484933710075	0.001	0.31554464780219893	0.9948959350585938	0.31999886113794607	0.9895201921463013
24	16.7868560939678	0.001	0.31494631799491674	0.9961792230606079	0.3200102452506971	0.9895201921463013
25	19.532622643979266	0.001	0.314945051122628	0.9961792230606079	0.3200113784577978	0.9895201921463013
26	14.518061074020807	0.001	0.31546438148837636	0.9948959350585938	0.32209046234437566	0.9841580986976624
27	13.249622378963977	0.001	0.31662018919823065	0.9923439025878906	0.31994148328076655	0.9895201921463013
28	13.996428244980052	0.001	0.31622219701859516	0.9936320185661316	0.3199301819855244	0.9895201921463013
29	11.214460843009874	0.001	0.31676954767807053	0.9923144578933716	0.3199302649078657	0.9895201921463013
30	11.53046641801484	0.001	0.3149447825142861	0.9961792230606079	0.3199302391041463	0.9895201921463013
31	13.110282837005798	0.001	0.31545789009802344	0.9948959350585938	0.319930274792053	0.9895201921463013
32	11.512786070001312	0.001	0.31602560324100093	0.9936562776565552	0.3200376621892105	0.9895201921463013
33	12.074237329012249	0.0001	0.31590292466068803	0.9948959350585938	0.32003203145223647	0.9895201921463013
34	11.132232131960336	0.0001	0.31526574325243417	0.9948959350585938	0.3199744114624196	0.9895201921463013
35	12.161152768996544	0.0001	0.3152507708361951	0.9949153661727905	0.3200624484362914	0.9895201921463013
36	10.856509544013534	0.0001	0.3155963061771856	0.9949153661727905	0.3201082256421372	0.9895201921463013
37	11.304419655003585	0.0001	0.31494485264099614	0.9961792230606079	0.3201082530932211	0.9895201921463013
38	14.187020649958868	0.0001	0.31494987010276093	0.9961792230606079	0.32009283480931766	0.9895201921463013
39	11.88158173096599	0.0001	0.3149452104252004	0.9961792230606079	0.3200926894219077	0.9895201921463013
40	14.31712864205474	0.0001	0.3149452596845071	0.9961792230606079	0.32009250592047245	0.9895201921463013
41	13.288035802019294	0.0001	0.31567432970396536	0.9948959350585938	0.31998550195490294	0.9895201921463013
42	13.556120120978449	0.0001	0.31580200138487907	0.9948959350585938	0.31996399150721394	0.9895201921463013
43	12.46491297899047	0.0001	0.31549591211775635	0.9948959350585938	0.3199974169683217	0.9895201921463013
44	13.384102180949412	0.0001	0.31494477237626267	0.9961792230606079	0.319997409495277	0.9895201921463013
45	15.205789575004019	0.0001	0.3154589283261064	0.9948959350585938	0.31999626376820567	0.9895201921463013
46	11.696859711024445	0.0001	0.3154863940159126	0.9948959350585938	0.3199962959367426	0.9895201921463013
47	12.737592743011191	0.0001	0.3149474532020474	0.9961792230606079	0.3200019435966434	0.9895201921463013
48	15.063108952948824	0.0001	0.31760532566902644	0.9897918701171875	0.3199756144878253	0.9895201921463013
49	14.132036738970783	0.0001	0.31566715586795846	0.9948959350585938	0.32000207140218073	0.9895201921463013
50	15.757733887003269	0.0001	0.3156823250563336	0.9949153661727905	0.3200110375132393	0.9895201921463013
